id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_daging,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,434708,KILOGRAM,2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,157449,KILOGRAM,2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,361834,KILOGRAM,2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,128806,KILOGRAM,2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,223508,KILOGRAM,2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,125292,KILOGRAM,2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,333166,KILOGRAM,2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,104993,KILOGRAM,2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,145276,KILOGRAM,2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,131202,KILOGRAM,2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,58848,KILOGRAM,2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,145638,KILOGRAM,2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,69943,KILOGRAM,2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,22899,KILOGRAM,2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,302482,KILOGRAM,2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,316540,KILOGRAM,2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3294,KILOGRAM,2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,14168,KILOGRAM,2016
19,32,JAWA BARAT,3271,KOTA BOGOR,19353,KILOGRAM,2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,2868,KILOGRAM,2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,195046,KILOGRAM,2016
22,32,JAWA BARAT,3274,KOTA CIREBON,154779,KILOGRAM,2016
23,32,JAWA BARAT,3275,KOTA BEKASI,3632475,KILOGRAM,2016
24,32,JAWA BARAT,3276,KOTA DEPOK,285004,KILOGRAM,2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,1544,KILOGRAM,2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9456,KILOGRAM,2016
27,32,JAWA BARAT,3279,KOTA BANJAR,3861,KILOGRAM,2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,2923796,KILOGRAM,2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,161824,KILOGRAM,2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,358645,KILOGRAM,2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,109945,KILOGRAM,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,399932,KILOGRAM,2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,128381,KILOGRAM,2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,337169,KILOGRAM,2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,49329,KILOGRAM,2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,149949,KILOGRAM,2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,154976,KILOGRAM,2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,76720,KILOGRAM,2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,151664,KILOGRAM,2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,69839,KILOGRAM,2017
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,23880,KILOGRAM,2017
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,16564,KILOGRAM,2017
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,341699,KILOGRAM,2017
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,43341,KILOGRAM,2017
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,15340,KILOGRAM,2017
46,32,JAWA BARAT,3271,KOTA BOGOR,7801,KILOGRAM,2017
47,32,JAWA BARAT,3272,KOTA SUKABUMI,2364,KILOGRAM,2017
48,32,JAWA BARAT,3273,KOTA BANDUNG,161657,KILOGRAM,2017
49,32,JAWA BARAT,3274,KOTA CIREBON,62904,KILOGRAM,2017
50,32,JAWA BARAT,3275,KOTA BEKASI,3639875,KILOGRAM,2017
51,32,JAWA BARAT,3276,KOTA DEPOK,0,KILOGRAM,2017
52,32,JAWA BARAT,3277,KOTA CIMAHI,1643,KILOGRAM,2017
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5135,KILOGRAM,2017
54,32,JAWA BARAT,3279,KOTA BANJAR,2332,KILOGRAM,2017
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,2995385,KILOGRAM,2018
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,24780,KILOGRAM,2018
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,390175,KILOGRAM,2018
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,89674,KILOGRAM,2018
59,32,JAWA BARAT,3205,KABUPATEN GARUT,543719,KILOGRAM,2018
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,179631,KILOGRAM,2018
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,340668,KILOGRAM,2018
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,51346,KILOGRAM,2018
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,122527,KILOGRAM,2018
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,146662,KILOGRAM,2018
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,61212,KILOGRAM,2018
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,156419,KILOGRAM,2018
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,100753,KILOGRAM,2018
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,218556,KILOGRAM,2018
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,15129,KILOGRAM,2018
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,271375,KILOGRAM,2018
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,31428,KILOGRAM,2018
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,5957,KILOGRAM,2018
73,32,JAWA BARAT,3271,KOTA BOGOR,17333,KILOGRAM,2018
74,32,JAWA BARAT,3272,KOTA SUKABUMI,1060,KILOGRAM,2018
75,32,JAWA BARAT,3273,KOTA BANDUNG,2443,KILOGRAM,2018
76,32,JAWA BARAT,3274,KOTA CIREBON,261923,KILOGRAM,2018
77,32,JAWA BARAT,3275,KOTA BEKASI,3639882,KILOGRAM,2018
78,32,JAWA BARAT,3276,KOTA DEPOK,456220,KILOGRAM,2018
79,32,JAWA BARAT,3277,KOTA CIMAHI,940,KILOGRAM,2018
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5751,KILOGRAM,2018
81,32,JAWA BARAT,3279,KOTA BANJAR,5626,KILOGRAM,2018
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,347540,KILOGRAM,2019
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,26019,KILOGRAM,2019
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,173889,KILOGRAM,2019
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,35105,KILOGRAM,2019
86,32,JAWA BARAT,3205,KABUPATEN GARUT,52518,KILOGRAM,2019
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,81866,KILOGRAM,2019
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,156813,KILOGRAM,2019
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,41050,KILOGRAM,2019
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,40298,KILOGRAM,2019
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,130498,KILOGRAM,2019
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,79806,KILOGRAM,2019
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,164246,KILOGRAM,2019
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,106813,KILOGRAM,2019
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,431984,KILOGRAM,2019
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,50833,KILOGRAM,2019
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,281020,KILOGRAM,2019
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9081,KILOGRAM,2019
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,8795,KILOGRAM,2019
100,32,JAWA BARAT,3271,KOTA BOGOR,18644,KILOGRAM,2019
101,32,JAWA BARAT,3272,KOTA SUKABUMI,3480,KILOGRAM,2019
102,32,JAWA BARAT,3273,KOTA BANDUNG,8987,KILOGRAM,2019
103,32,JAWA BARAT,3274,KOTA CIREBON,22748,KILOGRAM,2019
104,32,JAWA BARAT,3275,KOTA BEKASI,4820511,KILOGRAM,2019
105,32,JAWA BARAT,3276,KOTA DEPOK,168931,KILOGRAM,2019
106,32,JAWA BARAT,3277,KOTA CIMAHI,47,KILOGRAM,2019
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12123,KILOGRAM,2019
108,32,JAWA BARAT,3279,KOTA BANJAR,6793,KILOGRAM,2019
109,32, JAWA BARAT,3201, KABUPATEN BOGOR,370990,KILOGRAM,2020
110,32, JAWA BARAT,3202, KABUPATEN SUKABUMI,27690,KILOGRAM,2020
111,32, JAWA BARAT,3203, KABUPATEN CIANJUR,72224,KILOGRAM,2020
